project_id,organization_name,report_year,esg_claim_text,claim_category,claimed_metric_type,claimed_value,measurement_unit,project_location,actual_measured_value,value_deviation,external_validation_score,greenwashing_flag,controversy_flag,source_doc_link,report_sentiment_score,llm_claim_consistency_score,timestamp
SP-PROJ-0000,Acciona Renewables,2018,"In 2018, Acciona Renewables reported board diversity % of 230.98 hours.",Governance,exec_comp_tied_to_esg,50.0,%,USA,58.82,8.82,81.0,0,0,https://example.com/esg-reports/SP-PROJ-0000,0.4,0.7,2024-10-03T12:19:10Z
SP-PROJ-0001,Acciona Renewables,2019,"In 2019, Acciona Renewables reported local community investments of 606.0 hours.",Social,community_investment,10.0,million USD,Canada,11.87,1.87,60.3,0,0,https://example.com/esg-reports/SP-PROJ-0001,0.24,0.89,2024-12-20T12:19:10Z
SP-PROJ-0002,Iberdrola Green Energy,2024,"In 2024, Iberdrola Green Energy reported local community investments of 428.39 hours.",Social,supplier_diversity,2.0,million USD,South Africa,1.98,-0.02,81.2,0,0,https://example.com/esg-reports/SP-PROJ-0002,0.59,0.69,2025-04-11T12:19:10Z
SP-PROJ-0003,Repsol Low Carbon,2022,"In 2022, Repsol Low Carbon reported board diversity % of 732.43 €.",Governance,board_independence,60.0,%,Canada,64.57,4.57,76.8,0,0,https://example.com/esg-reports/SP-PROJ-0003,-0.13,0.45,2024-09-22T12:19:10Z
SP-PROJ-0004,Acciona Renewables,2018,"In 2018, Acciona Renewables reported training hours provided of 985.37 %.",Social,supplier_diversity,20.0,million USD,India,20.89,0.89,80.0,0,0,https://example.com/esg-reports/SP-PROJ-0004,0.78,0.84,2025-05-15T12:19:10Z
SP-PROJ-0005,Repsol Low Carbon,2019,"In 2019, Repsol Low Carbon reported audit compliance % of 937.29 MW.",Governance,anti_corruption,40.0,%,Japan,45.98,5.98,71.9,0,0,https://example.com/esg-reports/SP-PROJ-0005,-0.08,0.75,2024-12-22T12:19:10Z
SP-PROJ-0006,Ferrovial Sustainable Infra,2023,"In 2023, Ferrovial Sustainable Infra reported local community investments of 331.04 hours.",Social,community_investment,5.0,million USD,UK,3.72,-1.28,84.8,1,1,https://example.com/esg-reports/SP-PROJ-0006,0.06,0.83,2024-07-29T12:19:10Z
SP-PROJ-0007,Naturgy Solar Ventures,2022,"In 2022, Naturgy Solar Ventures reported board diversity % of 658.88 MW.",Governance,board_independence,60.0,%,Japan,73.62,13.62,53.2,0,0,https://example.com/esg-reports/SP-PROJ-0007,-0.18,0.74,2024-09-28T12:19:10Z
SP-PROJ-0008,Cepsa Transition Tech,2021,"In 2021, Cepsa Transition Tech reported general sustainability initiatives of 227.13 MW.",Other,impact_weighted_finance,3.0,score,South Africa,3.46,0.46,97.0,0,0,https://example.com/esg-reports/SP-PROJ-0008,0.74,0.78,2025-05-05T12:19:10Z
SP-PROJ-0009,Red Eléctrica Verde,2021,"In 2021, Red Eléctrica Verde reported general sustainability initiatives of 971.37 €.",Other,esg_materiality,9.0,score,USA,8.2,-0.8,45.3,1,1,https://example.com/esg-reports/SP-PROJ-0009,0.5,0.43,2024-08-12T12:19:10Z
